pair_id,image_1,text_1,image_2,text_2,shape_a,shape_b,color_1,color_2
34,pair0034_square_blue_star_yellow.png,a blue square and a yellow star,pair0034_square_yellow_star_blue.png,a yellow square and a blue star,square,star,blue,yellow
35,pair0035_square_green_star_yellow.png,a green square and a yellow star,pair0035_square_yellow_star_green.png,a yellow square and a green star,square,star,green,yellow
36,pair0036_triangle_red_circle_blue.png,a red triangle and a blue circle,pair0036_triangle_blue_circle_red.png,a blue triangle and a red circle,triangle,circle,red,blue
37,pair0037_triangle_red_circle_green.png,a red triangle and a green circle,pair0037_triangle_green_circle_red.png,a green triangle and a red circle,triangle,circle,red,green
38,pair0038_triangle_red_circle_yellow.png,a red triangle and a yellow circle,pair0038_triangle_yellow_circle_red.png,a yellow triangle and a red circle,triangle,circle,red,yellow
39,pair0039_triangle_blue_circle_green.png,a blue triangle and a green circle,pair0039_triangle_green_circle_blue.png,a green triangle and a blue circle,triangle,circle,blue,green
40,pair0040_triangle_blue_circle_yellow.png,a blue triangle and a yellow circle,pair0040_triangle_yellow_circle_blue.png,a yellow triangle and a blue circle,triangle,circle,blue,yellow
41,pair0041_triangle_green_circle_yellow.png,a green triangle and a yellow circle,pair0041_triangle_yellow_circle_green.png,a yellow triangle and a green circle,triangle,circle,green,yellow
42,pair0042_triangle_red_square_blue.png,a red triangle and a blue square,pair0042_triangle_blue_square_red.png,a blue triangle and a red square,triangle,square,red,blue
43,pair0043_triangle_red_square_green.png,a red triangle and a green square,pair0043_triangle_green_square_red.png,a green triangle and a red square,triangle,square,red,green
44,pair0044_triangle_red_square_yellow.png,a red triangle and a yellow square,pair0044_triangle_yellow_square_red.png,a yellow triangle and a red square,triangle,square,red,yellow
45,pair0045_triangle_blue_square_green.png,a blue triangle and a green square,pair0045_triangle_green_square_blue.png,a green triangle and a blue square,triangle,square,blue,green
46,pair0046_triangle_blue_square_yellow.png,a blue triangle and a yellow square,pair0046_triangle_yellow_square_blue.png,a yellow triangle and a blue square,triangle,square,blue,yellow
47,pair0047_triangle_green_square_yellow.png,a green triangle and a yellow square,pair0047_triangle_yellow_square_green.png,a yellow triangle and a green square,triangle,square,green,yellow
48,pair0048_triangle_red_star_blue.png,a red triangle and a blue star,pair0048_triangle_blue_star_red.png,a blue triangle and a red star,triangle,star,red,blue
49,pair0049_triangle_red_star_green.png,a red triangle and a green star,pair0049_triangle_green_star_red.png,a green triangle and a red star,triangle,star,red,green
50,pair0050_triangle_red_star_yellow.png,a red triangle and a yellow star,pair0050_triangle_yellow_star_red.png,a yellow triangle and a red star,triangle,star,red,yellow
51,pair0051_triangle_blue_star_green.png,a blue triangle and a green star,pair0051_triangle_green_star_blue.png,a green triangle and a blue star,triangle,star,blue,green
52,pair0052_triangle_blue_star_yellow.png,a blue triangle and a yellow star,pair0052_triangle_yellow_star_blue.png,a yellow triangle and a blue star,triangle,star,blue,yellow
53,pair0053_triangle_green_star_yellow.png,a green triangle and a yellow star,pair0053_triangle_yellow_star_green.png,a yellow triangle and a green star,triangle,star,green,yellow
54,pair0054_star_red_circle_blue.png,a red star and a blue circle,pair0054_star_blue_circle_red.png,a blue star and a red circle,star,circle,red,blue
55,pair0055_star_red_circle_green.png,a red star and a green circle,pair0055_star_green_circle_red.png,a green star and a red circle,star,circle,red,green
56,pair0056_star_red_circle_yellow.png,a red star and a yellow circle,pair0056_star_yellow_circle_red.png,a yellow star and a red circle,star,circle,red,yellow
57,pair0057_star_blue_circle_green.png,a blue star and a green circle,pair0057_star_green_circle_blue.png,a green star and a blue circle,star,circle,blue,green
58,pair0058_star_blue_circle_yellow.png,a blue star and a yellow circle,pair0058_star_yellow_circle_blue.png,a yellow star and a blue circle,star,circle,blue,yellow
59,pair0059_star_green_circle_yellow.png,a green star and a yellow circle,pair0059_star_yellow_circle_green.png,a yellow star and a green circle,star,circle,green,yellow
60,pair0060_star_red_square_blue.png,a red star and a blue square,pair0060_star_blue_square_red.png,a blue star and a red square,star,square,red,blue
61,pair0061_star_red_square_green.png,a red star and a green square,pair0061_star_green_square_red.png,a green star and a red square,star,square,red,green
62,pair0062_star_red_square_yellow.png,a red star and a yellow square,pair0062_star_yellow_square_red.png,a yellow star and a red square,star,square,red,yellow
63,pair0063_star_blue_square_green.png,a blue star and a green square,pair0063_star_green_square_blue.png,a green star and a blue square,star,square,blue,green
64,pair0064_star_blue_square_yellow.png,a blue star and a yellow square,pair0064_star_yellow_square_blue.png,a yellow star and a blue square,star,square,blue,yellow
65,pair0065_star_green_square_yellow.png,a green star and a yellow square,pair0065_star_yellow_square_green.png,a yellow star and a green square,star,square,green,yellow
66,pair0066_star_red_triangle_blue.png,a red star and a blue triangle,pair0066_star_blue_triangle_red.png,a blue star and a red triangle,star,triangle,red,blue
67,pair0067_star_red_triangle_green.png,a red star and a green triangle,pair0067_star_green_triangle_red.png,a green star and a red triangle,star,triangle,red,green
68,pair0068_star_red_triangle_yellow.png,a red star and a yellow triangle,pair0068_star_yellow_triangle_red.png,a yellow star and a red triangle,star,triangle,red,yellow
69,pair0069_star_blue_triangle_green.png,a blue star and a green triangle,pair0069_star_green_triangle_blue.png,a green star and a blue triangle,star,triangle,blue,green
70,pair0070_star_blue_triangle_yellow.png,a blue star and a yellow triangle,pair0070_star_yellow_triangle_blue.png,a yellow star and a blue triangle,star,triangle,blue,yellow
71,pair0071_star_green_triangle_yellow.png,a green star and a yellow triangle,pair0071_star_yellow_triangle_green.png,a yellow star and a green triangle,star,triangle,green,yellow
